"Freq [GHz]","dB(S(1,1)) []","dB(S(2,2)) []","dB(S(3,3)) []","dB(S(4,4)) []"
1,-0.0474100995156505,-0.047311021534662,-0.0471141474418313,-0.0473466622923229
1.00033333333333,-0.0474384667610956,-0.0473393156245657,-0.0471422860644607,-0.0473749307431298
1.00066666666667,-0.047466905958678,-0.0473676815125307,-0.0471704961060899,-0.0474032708690799
1.001,-0.0474954172694893,-0.0473961193591215,-0.0471987777262457,-0.0474316828303674
1.00133333333333,-0.0475240008551368,-0.0474246293254225,-0.0472271310849657,-0.0474601667876953
1.00166666666667,-0.0475526568777493,-0.0474532115730291,-0.0472555563427993,-0.0474887229022864
1.002,-0.0475813854999729,-0.0474818662640602,-0.0472840536608177,-0.0475173513358831
1.00233333333333,-0.047610186884977,-0.0475105935611527,-0.0473126232006099,-0.047546052250743
1.00266666666667,-0.0476390611964617,-0.0475393936274671,-0.0473412651242738,-0.0475748258096462
1.003,-0.047668008598643,-0.0475682666266914,-0.0473699795944399,-0.0476036721759004
1.00333333333333,-0.0476970292562744,-0.0475972127230365,-0.0473987667742535,-0.0476325915133322
1.00366666666667,-0.0477261233346289,-0.04762623208124,-0.0474276268273903,-0.0476615839862967
1.004,-0.0477552909995261,-0.0476553248665795,-0.047456559918047,-0.0476906497596749
1.00433333333333,-0.047784532417311,-0.0476844912448498,-0.0474855662109557,-0.0477197889988869
1.00466666666667,-0.0478138477548602,-0.0477137313823919,-0.0475146458713661,-0.0477490018698787
1.005,-0.0478432371795958,-0.0477430454460762,-0.0475437990650753,-0.0477782885391276
1.00533333333333,-0.0478727008594751,-0.0477724336033117,-0.0475730259584079,-0.0478076491736526
1.00566666666667,-0.047902238962996,-0.0478018960220468,-0.0476023267182154,-0.0478370839410108
1.006,-0.0479318516592055,-0.047831432870775,-0.0476317015119011,-0.047866593009297
1.00633333333333,-0.047961539117689,-0.0478610443185284,-0.047661150507401,-0.0478961765471452
1.00666666666667,-0.0479913015085822,-0.0478907305348853,-0.0476906738731942,-0.0479258347237377
1.007,-0.048021139002569,-0.0479204916899733,-0.0477202717782996,-0.0479555677088013
1.00733333333333,-0.0480510517708855,-0.047950327954468,-0.0477499443922849,-0.0479853756726059
1.00766666666667,-0.0480810399853199,-0.0479802394995917,-0.0477796918852614,-0.0480152587859786
